Designator,Mid X,Mid Y,Rotation,Layer
C1,112.215,-112.785,270,top
C11,167.336799,-104.088501,180,top
C12,179.06,-84.575,90,top
C13,179.073201,-98.123103,180,top
C14,183.79,-83.345,0,bottom
C15,180.605,-90.455,180,bottom
C16,179.34,-83.34,0,bottom
C17,176.38238,-87.73,180,bottom
C18,169.83,-83.03,180,bottom
C19,165.2,-76.675,270,bottom
C20,165.14,-117.051412,180,bottom
C21,165.141116,-119.57,180,bottom
C22,165.141116,-122.085,180,bottom
C23,165.141116,-124.6,180,bottom
C24,165.141116,-127.115,180,bottom
C25,162.01,-90.712142,270,bottom
C26,157.994074,-87.660427,90,bottom
C27,153.705,-77.17,0,bottom
C28,154.31976,-82.465,180,bottom
C29,155.775,-85.45,0,bottom
C30,153.545,-84.68,90,bottom
C31,152.31,-91.44,270,bottom
C32,143.82,-84.49,0,bottom
C33,141.99,-79.965,180,bottom
C34,140.865,-91.975,0,bottom
C35,140.87,-95.175,0,bottom
C36,136.365,-96.435,270,bottom
C37,133.161905,-96.43674,270,bottom
C39,125.647375,-89.499975,180,bottom
C4,146.315,-84.275,0,top
C40,121.165,-104.23,270,bottom
C41,121.14,-110.605,270,bottom
C42,115.885,-83.416036,180,bottom
C43,113.435,-84.3575,270,bottom
C44,114.866,-87.3425,270,bottom
C45,110.17,-91.085,0,bottom
C46,107.315,-107.335,90,bottom
C47,105.185,-102.695,270,bottom
C48,162.270924,-76.671812,270,bottom
C49,183.74,-113.995,270,bottom
C5,153.03262,-88.01,0,top
C50,179.07,-98.15,180,bottom
C51,174.965,-125.305,90,bottom
C52,170.78,-102.21,0,bottom
C53,183.785,-90.205,180,bottom
C54,176.005,-77,270,bottom
C56,177.785,-95.705,180,bottom
C57,169.2375,-118.8075,270,bottom
C6,158.92,-90.36,0,top
C8,162.999073,-76.056574,180,top
C9,164.015,-90.355,0,top
C_START1,173.986573,-79.32765,90,top
D1,101.256318,-106.14,270,top
D10,159.185062,-77.34,180,bottom
D11,141.63,-76.835,0,bottom
D12,136.64762,-88.495,0,bottom
D13,131.02,-76.885,180,bottom
D14,126.127052,-108.700038,90,bottom
D15,125.345,-102.39,0,bottom
D16,123.07,-111.41,90,bottom
D17,116.775,-88.21,270,bottom
D18,115.564457,-91.712951,0,bottom
D2,105.77,-98.13,270,top
D3,106.365,-103.355,270,top
D4,114.005,-87.56,180,top
D5,130.104506,-84.787594,0,top
D6,176.19238,-85.215,180,top
D7,178.909574,-76.925573,270,top
D8,173.95,-88.320076,90,bottom
D9,168.693427,-80.255426,180,bottom
F1,103.685,-101.915,270,top
F2,179.768427,-88.893426,180,top
F3,172.260067,-115.401574,180,bottom
J1,114.38,-79.41,180,top
J2,159.94,-86.045,180,top
J3,167.078427,-85.80868,180,top
J4,176.79,-125.805,0,top
J5,180.686574,-113.621573,90,top
J8,169.85,-91.115,90,top
L1,167.065,-78.105,270,top
L2,168.076166,-121.101069,90,top
L3,183.14,-83.855,180,top
NT1,169.031448,-106.048626,270,bottom
NT2,150.69,-103.5741,180,bottom
